N,P,K,temperature,humidity,label,Region,Soil_Type,soil_moisture_range
70,36,42,21.84106875,80.72886384,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
76,47,42,20.08369642,83.29114712,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
99,41,36,24.45802087,82.74835604,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
99,54,37,21.14347496,80.33502926,rice,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(80, 100)"
86,59,35,25.78720567,82.11124033,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
69,46,41,23.64124821,80.28597873,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
91,56,37,23.43191632,80.56887849,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
61,52,41,24.97669518,83.891805,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
67,45,38,22.72791041,82.1706881,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
79,42,37,24.87300744,82.84022551,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
78,43,42,21.32376327,83.00320459,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
75,54,36,26.29465461,84.56919326,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
97,36,45,22.2286982,81.85872947,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
67,47,44,26.73072391,81.78596776,rice,East Coast Plains & Hills,"['Red', 'Black Coastal Alluvium']","(80, 100)"
73,35,38,24.88921174,81.97927117,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
77,36,37,26.88444878,81.46033732,rice,Island Region (Andaman & Nicobar),['Coastal Alluvium Salty'],"(80, 100)"
81,41,38,22.67846116,83.72874389,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
68,57,43,26.08867875,80.37979919,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
72,45,35,25.42977518,82.94682591,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
61,53,43,26.40323239,81.05635517,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
67,43,39,26.04371967,84.96907151,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
67,58,39,25.2827223,80.54372813,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
66,60,38,22.08576562,83.47038318,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
82,43,38,23.28617173,81.43321641,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
84,50,44,25.48591986,81.40633547,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
81,53,42,23.67575393,81.03569343,rice,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(80, 100)"
91,50,40,20.82477109,84.1341879,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
93,53,38,26.92995077,81.91411159,rice,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(80, 100)"
90,44,38,23.83509503,83.88387074,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
81,45,35,26.52872817,80.12267476,rice,East Coast Plains & Hills,"['Red', 'Black Coastal Alluvium']","(80, 100)"
78,40,38,26.46428311,83.85642678,rice,Island Region (Andaman & Nicobar),['Coastal Alluvium Salty'],"(80, 100)"
60,51,36,22.69657794,82.81088865,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
88,46,42,22.68319059,83.46358271,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
93,47,37,21.53346343,82.14004101,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
60,55,45,21.40865769,83.3293191,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
78,35,44,26.54348085,84.67353597,rice,Island Region (Andaman & Nicobar),['Coastal Alluvium Salty'],"(80, 100)"
65,37,40,23.35905428,83.59512273,rice,"Eastern Himalaya (Assam, W.B., NE states)","['Alluvial', 'Brown hill', 'Red', 'Tarai']","(80, 100)"
71,54,16,22.61359953,63.69070564,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
61,44,17,26.10018422,71.57476937,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
80,43,16,23.55882094,71.59351368,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
73,58,21,19.97215954,57.68272924,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(50, 80)"
61,38,20,18.47891261,62.69503871,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
68,41,16,21.77689322,57.80840636,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
93,41,17,25.6217169,66.50415474,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
89,60,19,25.19192419,66.6902901,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
76,44,17,20.41683147,62.5542482,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
67,60,25,24.92162194,66.78627406,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
70,44,19,23.31689124,73.4541537,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
90,49,21,24.84016732,68.3584573,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
62,52,16,22.27526694,58.84015925,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
92,44,16,18.87751445,65.76816093,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
66,54,21,25.19008683,60.2001687,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
63,58,22,18.25405352,55.28220433,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(50, 80)"
70,47,17,24.6129118,70.4162444,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
61,41,17,25.1420613,65.26185135,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
66,53,19,23.09348056,60.1159381,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
74,55,19,18.05033737,62.89366992,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
77,57,21,24.9321581,73.80435276,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
99,50,15,18.14710054,71.09445342,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
74,56,22,18.28362235,66.65952796,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
83,45,21,18.83344471,58.75082029,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(50, 80)"
100,48,16,25.71895816,67.22190688,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
79,51,16,25.33797709,68.49835977,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
94,39,18,23.89114571,57.48775781,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
75,49,15,21.53574127,71.50905983,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
78,48,22,23.08974909,63.10459626,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
87,54,20,25.61707368,63.4711755,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
87,35,25,21.44526922,63.1621551,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
63,43,19,18.51816776,55.53128131,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
84,57,25,22.53510514,67.99257471,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
64,35,23,23.02038334,61.89472002,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
60,46,22,24.89364635,65.61418761,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
98,44,21,25.77175115,74.089114,maize,Lower Gangetic Plain (W.B.),['Alluvial Red Lateritic'],"(60, 80)"
75,56,18,19.39851734,62.35750641,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
86,55,21,21.54156232,59.64024162,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(50, 80)"
98,35,18,23.79746068,74.82913698,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
76,57,18,18.9802729,74.52600826,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
99,56,17,24.10859207,73.13112261,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
60,44,23,24.7947077,70.04556743,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
74,48,17,21.63162756,60.27766379,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
89,60,17,25.37548751,57.21025565,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
69,51,23,22.21738222,72.85462807,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
96,46,22,20.58314011,69.00128641,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
61,60,15,24.87502824,68.74248334,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
74,58,18,20.03728219,56.35606753,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(50, 80)"
74,43,23,25.95263264,61.89082199,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
63,43,17,19.28889933,65.47050802,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
99,36,20,20.57981887,65.34583901,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
77,36,23,24.71417533,56.73426469,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
87,60,23,20.27317074,63.91281869,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
60,38,17,18.41932981,64.23580251,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
94,54,17,23.39128187,61.74427165,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
95,38,22,19.84939404,61.24500053,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
84,44,21,21.869274,61.91044947,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
77,58,19,22.8056033,56.50768935,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(50, 80)"
66,44,20,19.0781471,69.02298571,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
63,35,16,22.02720976,65.35549924,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
79,45,20,23.80546189,59.24537979,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
72,60,25,18.52510753,69.0276233,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
67,51,24,23.50297882,61.32026065,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
86,36,24,26.54986394,72.89187265,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
76,48,18,19.29563411,69.63481219,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
75,53,18,20.68899915,59.4375337,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(50, 80)"
81,45,23,19.32666088,68.034493,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
73,45,21,24.60532218,73.58868502,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
71,35,24,22.27373646,59.52193158,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
96,54,22,25.70196694,61.33450447,maize,Western Plateau,['Black Reddish Brown'],"(60, 80)"
99,39,18,19.20129357,68.30578978,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
62,48,20,21.70181447,60.47470519,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
86,37,16,20.51716779,59.21235483,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
94,50,19,23.30355338,73.62548442,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
76,39,24,24.2547451,55.64709899,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
77,52,17,24.86374934,65.7420046,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
74,39,23,22.6265115,65.77472881,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
81,49,20,18.04185513,60.61494304,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
63,42,21,23.26237612,72.33125523,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
99,38,21,22.88330922,71.59722446,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
90,52,25,25.97482359,69.36385721,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
68,40,19,26.14384005,66.20569924,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
60,57,24,18.66116213,61.55327249,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
71,52,18,25.10787449,55.97732754,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
61,59,17,23.33844615,59.24580604,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(50, 80)"
88,38,15,25.08239719,65.92195844,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
65,60,22,25.36768364,72.52054555,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
78,37,22,25.34217103,63.31801994,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
78,58,15,25.00933355,67.816568,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
92,60,23,18.66746724,71.516474,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
79,59,17,20.37999665,63.73849998,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
91,55,15,18.09300227,72.61024172,maize,"Western Himalayas (J & K, H.P.)","['Alluvial', 'Brown-hill']","(60, 80)"
76,51,18,26.16985907,71.96246617,maize,Eastern Plateau & Hills,"['Red & Yellow', 'Red & Lateritic', 'Mixed Red & Black']","(60, 80)"
